# Frame Rg_A
0.000000000000000000e+00 1.069567394256591797e+01
1.000000000000000000e+00 1.079928112030029297e+01
2.000000000000000000e+00 1.115310478210449219e+01
3.000000000000000000e+00 1.165648078918457031e+01
4.000000000000000000e+00 1.163758087158203125e+01
5.000000000000000000e+00 1.183169841766357422e+01
6.000000000000000000e+00 1.189942741394042969e+01
7.000000000000000000e+00 1.185906982421875000e+01
8.000000000000000000e+00 1.205015087127685547e+01
9.000000000000000000e+00 1.222872543334960938e+01
1.000000000000000000e+01 1.231376743316650391e+01
1.100000000000000000e+01 1.220218849182128906e+01
1.200000000000000000e+01 1.229083251953125000e+01
1.300000000000000000e+01 1.210594940185546875e+01
1.400000000000000000e+01 1.195773410797119141e+01
1.500000000000000000e+01 1.195707035064697266e+01
1.600000000000000000e+01 1.201728248596191406e+01
1.700000000000000000e+01 1.184400081634521484e+01
1.800000000000000000e+01 1.155022048950195312e+01
1.900000000000000000e+01 1.159226989746093750e+01
2.000000000000000000e+01 1.168618869781494141e+01
2.100000000000000000e+01 1.191734218597412109e+01
