# step   N   rho   U
0 17 0.0495627 -10.499
50 21 0.0612245 -11.7288
100 23 0.0670554 -12.1283
150 20 0.058309 -8.2641
200 24 0.0699708 -11.3226
250 22 0.0641399 -14.6427
300 14 0.0408163 -7.34567
350 26 0.0758017 -13.946
400 23 0.0670554 -6.71515
450 20 0.058309 -6.93685
500 11 0.03207 -1.29286
550 5 0.0145773 -0.119737
600 8 0.0233236 -0.197415
650 18 0.0524781 -4.26117
700 24 0.0699708 -10.6696
750 20 0.058309 -9.57459
800 16 0.0466472 -6.44838
850 24 0.0699708 -9.59409
900 31 0.090379 -18.9678
950 36 0.104956 -23.6039
1000 34 0.0991254 -21.5171
1050 30 0.0874636 -19.9878
1100 28 0.0816327 -22.3633
1150 21 0.0612245 -7.58594
1200 16 0.0466472 -3.15206
1250 18 0.0524781 -4.99775
1300 21 0.0612245 -7.58798
1350 23 0.0670554 -11.2838
1400 22 0.0641399 -10.6689
1450 16 0.0466472 -6.60979
1500 17 0.0495627 -4.78337
1550 17 0.0495627 -4.84848
1600 20 0.058309 -5.97741
1650 12 0.0349854 -3.91261
1700 14 0.0408163 -3.81246
1750 17 0.0495627 -6.20098
1800 15 0.0437318 -4.42888
1850 11 0.03207 -2.46453
1900 9 0.0262391 -0.221945
1950 8 0.0233236 -2.38176
2000 10 0.0291545 -1.25984
2050 12 0.0349854 -4.92353
2100 23 0.0670554 -9.7957
2150 12 0.0349854 -2.05739
2200 14 0.0408163 -2.8248
2250 11 0.03207 -2.55382
2300 16 0.0466472 -4.3264
2350 13 0.0379009 -5.22068
2400 9 0.0262391 -2.14745
2450 19 0.0553936 -5.89549
2500 16 0.0466472 -5.47854
2550 18 0.0524781 -5.82714
2600 15 0.0437318 -2.94448
2650 14 0.0408163 -4.42126
2700 12 0.0349854 -3.35408
2750 14 0.0408163 -7.25068
2800 17 0.0495627 -5.45683
2850 20 0.058309 -8.9788
2900 24 0.0699708 -12.4794
2950 20 0.058309 -10.3051
3000 19 0.0553936 -8.25431
3050 19 0.0553936 -9.24182
3100 15 0.0437318 -4.57648
3150 13 0.0379009 -5.24674
3200 13 0.0379009 -2.91138
3250 15 0.0437318 -4.22165
3300 12 0.0349854 -4.60129
3350 18 0.0524781 -11.491
3400 19 0.0553936 -6.4156
3450 25 0.0728863 -10.515
3500 28 0.0816327 -12.688
3550 29 0.0845481 -13.924
3600 30 0.0874636 -19.4953
3650 26 0.0758017 -15.5528
3700 21 0.0612245 -9.23904
3750 30 0.0874636 -16.9093
3800 21 0.0612245 -8.1436
3850 22 0.0641399 -11.5547
3900 22 0.0641399 -9.86148
3950 25 0.0728863 -14.1459
4000 22 0.0641399 -10.1025
4050 21 0.0612245 -14.4455
4100 24 0.0699708 -10.5824
4150 18 0.0524781 -7.70996
4200 25 0.0728863 -13.9282
4250 26 0.0758017 -18.7639
4300 20 0.058309 -11.1347
4350 13 0.0379009 -4.31196
4400 13 0.0379009 -2.54378
4450 16 0.0466472 -3.92996
4500 19 0.0553936 -6.10763
4550 18 0.0524781 -7.32289
4600 22 0.0641399 -10.0801
4650 20 0.058309 -7.83098
4700 15 0.0437318 -7.55975
4750 23 0.0670554 -12.178
4800 21 0.0612245 -12.5736
4850 27 0.0787172 -18.5739
4900 26 0.0758017 -18.3059
4950 20 0.058309 -7.91757
5000 23 0.0670554 -15.5013
5050 16 0.0466472 -7.40116
5100 22 0.0641399 -12.3163
5150 26 0.0758017 -16.9336
5200 28 0.0816327 -24.0047
5250 27 0.0787172 -25.7174
5300 36 0.104956 -33.0557
5350 39 0.113703 -38.7874
5400 34 0.0991254 -33.9593
5450 29 0.0845481 -28.1903
