# T rho P Z beta_mu_total U_per_particle
1.12 0.06 0.0507137 0.754668 -3.29156 -0.527395
1.12 0.06 0.0505091 0.751624 -3.28856 -0.521744
1.12 0.06 0.0505177 0.751752 -3.28996 -0.52015
1.12 0.06 0.0507373 0.755019 -3.28966 -0.519609
1.12 0.06 0.0504557 0.750829 -3.29118 -0.521575
1.12 0.06 0.0505214 0.751806 -3.29201 -0.522951
1.12 0.06 0.0505568 0.752333 -3.29176 -0.521047
1.12 0.06 0.0505005 0.751495 -3.29081 -0.52347
1.12 0.06 0.0504326 0.750485 -3.28965 -0.520398
1.12 0.06 0.0503513 0.749276 -3.29065 -0.522357
1.12 0.06 0.0508165 0.756198 -3.29158 -0.519969
1.12 0.06 0.0505984 0.752953 -3.28883 -0.521827
1.12 0.06 0.0505679 0.752498 -3.29088 -0.521345
1.12 0.06 0.0504349 0.750519 -3.28999 -0.522264
1.12 0.06 0.0505117 0.751662 -3.29172 -0.521237
1.12 0.06 0.0505703 0.752534 -3.29075 -0.521102
1.12 0.06 0.0506116 0.753149 -3.29127 -0.523977
1.12 0.06 0.0503757 0.749638 -3.2894 -0.524893
1.12 0.06 0.050376 0.749643 -3.29166 -0.521939
1.12 0.06 0.0504854 0.75127 -3.29057 -0.522672
