# T rho P Z beta_mu_total U_per_particle
1.12 0.08 0.06060516597 0.6763969416 -3.154348595 -0.6954541935
1.12 0.08 0.06044441633 0.6746028608 -3.153569548 -0.6980471202
1.12 0.08 0.06058738133 0.6761984523 -3.15356286 -0.6978402238
1.12 0.08 0.06041679785 0.6742946188 -3.153977671 -0.6990999865
1.12 0.08 0.06044132569 0.674568367 -3.153324262 -0.6947257283
1.12 0.08 0.06046192214 0.6747982381 -3.154196919 -0.6930426302
1.12 0.08 0.06062180186 0.67658261 -3.153219523 -0.6972252814
1.12 0.08 0.06055710327 0.6758605276 -3.154220655 -0.6979256431
1.12 0.08 0.06057021212 0.6760068317 -3.154103362 -0.7010041284
1.12 0.08 0.06047362004 0.6749287951 -3.153268391 -0.695841981
1.12 0.08 0.06053543381 0.675618681 -3.154879999 -0.6965390915
1.12 0.08 0.06061522642 0.6765092235 -3.15367744 -0.6985950647
1.12 0.08 0.0602279343 0.6721867668 -3.154477677 -0.6974457058
1.12 0.08 0.06056933086 0.6759969962 -3.153369709 -0.6973022834
1.12 0.08 0.06040774776 0.6741936134 -3.153463478 -0.6980784562
1.12 0.08 0.06051730464 0.6754163465 -3.153180467 -0.6962662431
1.12 0.08 0.06035586553 0.6736145707 -3.154384644 -0.7015308475
1.12 0.08 0.06053102254 0.675569448 -3.155070387 -0.6984210571
1.12 0.08 0.06060940576 0.6764442607 -3.15429717 -0.6928313828
1.12 0.08 0.06049112699 0.6751241851 -3.154744317 -0.6977235385
1.12 0.08 0.06073695744 0.6778678286 -3.153420611 -0.6948576495
1.12 0.08 0.06054291927 0.675702224 -3.15364709 -0.6977798723
1.12 0.08 0.06052966114 0.6755542538 -3.153968823 -0.6958648923
1.12 0.08 0.06061177986 0.6764707574 -3.154485168 -0.6963380644
1.12 0.08 0.0603203022 0.6732176585 -3.15408873 -0.7009788479
