# Step  P_inst  U_inst
0 0.00370508 -13.5948
200 0.00392255 -14.6658
400 0.004049 -7.39153
600 0.00377199 -11.1968
800 0.00368173 -13.2515
1000 0.00364294 -14.4382
1200 0.00400776 -15.8967
1400 0.00367556 -19.7708
1600 0.00357466 -20.0067
1800 0.00366744 -16.0775
2000 0.0037582 -15.1115
2200 0.00372017 -13.5012
2400 0.00399309 -17.2879
2600 0.00383882 -13.9915
2800 0.00380508 -20.1565
3000 0.00362005 -17.8831
3200 0.00405484 -15.1518
3400 0.00391392 -19.924
3600 0.00382385 -18.8308
3800 0.00401809 -10.3597
4000 0.0037924 -14.1919
4200 0.00396187 -16.415
4400 0.0039863 -18.695
4600 0.00393409 -13.5294
4800 0.00365536 -20.6345
5000 0.0039957 -17.1698
5200 0.00397095 -15.0204
5400 0.00372506 -14.9329
5600 0.00375563 -16.5616
5800 0.00380384 -11.8905
6000 0.00375624 -15.4555
6200 0.00394617 -12.5649
6400 0.00385543 -10.5554
6600 0.00380437 -12.0999
6800 0.00369832 -12.9268
7000 0.00401766 -14.918
7200 0.00369864 -13.2659
7400 0.00376283 -12.8358
7600 0.00370824 -14.7312
7800 0.00399312 -13.6814
8000 0.0037187 -15.2227
8200 0.00368986 -11.2245
8400 0.00396447 -12.3678
8600 0.00369064 -15.6674
8800 0.00368641 -17.6366
9000 0.00369457 -18.7717
9200 0.00398709 -16.8551
9400 0.00382121 -14.77
9600 0.00389543 -16.1451
9800 0.00407847 -17.4806
10000 0.00364525 -14.637
10200 0.00360346 -16.6989
10400 0.00423663 -17.2047
10600 0.00374124 -12.4696
10800 0.00399395 -14.9596
11000 0.00413349 -8.6238
11200 0.00384201 -12.6674
11400 0.00382692 -13.6653
11600 0.00371535 -14.15
11800 0.0037818 -11.3902
12000 0.00379575 -19.8699
12200 0.00391211 -17.0138
12400 0.00378833 -16.8733
12600 0.00386637 -14.5612
12800 0.003722 -12.3155
13000 0.00384491 -11.5211
13200 0.00404489 -12.3969
13400 0.00376368 -13.4509
13600 0.00381596 -17.6863
13800 0.00394117 -17.5951
14000 0.00377019 -18.2769
14200 0.00385071 -20.6376
14400 0.00383 -14.903
14600 0.00394064 -16.345
14800 0.00400401 -17.5952
15000 0.00365603 -14.5474
15200 0.00371126 -9.99299
15400 0.00380386 -8.80764
15600 0.00375844 -14.0813
15800 0.00369766 -14.2411
16000 0.00396653 -13.025
16200 0.00391449 -11.1178
16400 0.00369927 -15.722
16600 0.00391097 -19.4001
