# step   N   rho   U
0 21 0.0612245 -11.7924
50 22 0.0641399 -12.8838
100 19 0.0553936 -9.10606
150 17 0.0495627 -7.43865
200 21 0.0612245 -8.65945
250 19 0.0553936 -7.51348
300 19 0.0553936 -10.486
350 15 0.0437318 -8.70571
400 10 0.0291545 -5.5137
450 17 0.0495627 -6.1189
500 16 0.0466472 -6.1625
550 10 0.0291545 -2.4749
600 19 0.0553936 -6.72302
650 21 0.0612245 -7.03804
700 21 0.0612245 -7.85133
750 16 0.0466472 -7.94867
800 10 0.0291545 -1.35999
850 11 0.03207 -1.2687
900 12 0.0349854 -2.60838
950 19 0.0553936 -4.56243
1000 20 0.058309 -5.51187
1050 21 0.0612245 -10
1100 17 0.0495627 -6.5392
1150 18 0.0524781 -9.58787
1200 23 0.0670554 -17.1959
1250 19 0.0553936 -9.34808
1300 24 0.0699708 -11.9362
1350 27 0.0787172 -15.1693
1400 27 0.0787172 -18.7919
1450 21 0.0612245 -13.3003
1500 20 0.058309 -14.6432
1550 22 0.0641399 -10.7638
1600 18 0.0524781 -8.05508
1650 16 0.0466472 -7.62612
1700 13 0.0379009 -7.89684
1750 17 0.0495627 -9.00554
1800 16 0.0466472 -4.6444
1850 21 0.0612245 -10.5054
1900 23 0.0670554 -8.29295
1950 20 0.058309 -13.7934
2000 18 0.0524781 -11.5355
2050 27 0.0787172 -14.5067
2100 25 0.0728863 -15.5491
2150 32 0.0932945 -24.8517
2200 29 0.0845481 -18.8265
2250 29 0.0845481 -16.737
2300 26 0.0758017 -17.2833
2350 29 0.0845481 -18.3411
2400 22 0.0641399 -14.188
2450 26 0.0758017 -15.5065
2500 29 0.0845481 -21.7168
2550 27 0.0787172 -19.1056
2600 18 0.0524781 -11.0508
2650 21 0.0612245 -14.9786
2700 24 0.0699708 -15.7034
2750 21 0.0612245 -16.0694
2800 27 0.0787172 -13.9559
2850 27 0.0787172 -11.8822
2900 19 0.0553936 -3.63905
2950 19 0.0553936 -6.20521
3000 17 0.0495627 -5.79356
3050 19 0.0553936 -7.08923
3100 19 0.0553936 -9.81646
3150 23 0.0670554 -10.9752
3200 21 0.0612245 -13.485
3250 28 0.0816327 -20.5459
3300 21 0.0612245 -12.2427
3350 21 0.0612245 -9.90572
3400 22 0.0641399 -11.0531
3450 15 0.0437318 -5.5015
3500 16 0.0466472 -9.30746
3550 19 0.0553936 -11.8768
3600 19 0.0553936 -11.9198
3650 20 0.058309 -12.7518
3700 27 0.0787172 -15.9688
3750 19 0.0553936 -11.045
3800 23 0.0670554 -13.2015
3850 23 0.0670554 -14.3767
3900 15 0.0437318 -10.6539
3950 24 0.0699708 -16.6052
4000 26 0.0758017 -17.4934
