# T rho P Z beta_mu_total U_per_particle
1.12 0.15 0.07354412377 0.4377626415 -3.012658082 -1.305962353
1.12 0.15 0.07404340205 0.440734536 -3.012944885 -1.301676791
1.12 0.15 0.07387748056 0.4397469081 -3.012013327 -1.295617066
1.12 0.15 0.07341346986 0.4369849396 -3.014215753 -1.308209087
1.12 0.15 0.07378846036 0.4392170259 -3.013845265 -1.309348012
1.12 0.15 0.07349507748 0.4374706993 -3.013065913 -1.299465911
1.12 0.15 0.07306667244 0.4349206693 -3.013654763 -1.311585023
1.12 0.15 0.07353491251 0.4377078126 -3.014596849 -1.31332045
1.12 0.15 0.07426746854 0.4420682651 -3.013812796 -1.307956781
1.12 0.15 0.07388416286 0.4397866837 -3.012059416 -1.295981287
1.12 0.15 0.0742401939 0.4419059161 -3.011533049 -1.293675421
1.12 0.15 0.0736846954 0.4385993774 -3.013801926 -1.306540544
1.12 0.15 0.07322552006 0.4358661908 -3.013409061 -1.298465639
1.12 0.15 0.07324722735 0.4359954009 -3.012340138 -1.299725531
1.12 0.15 0.07290780352 0.433975021 -3.011792431 -1.299922789
1.12 0.15 0.07320850157 0.4357648903 -3.012754245 -1.304421958
1.12 0.15 0.07325419437 0.4360368713 -3.013630665 -1.301331348
1.12 0.15 0.07307562874 0.4349739806 -3.01561157 -1.305224598
1.12 0.15 0.07361345365 0.4381753193 -3.013912863 -1.308893402
1.12 0.15 0.07394710224 0.4401613228 -3.013302285 -1.313521714
1.12 0.15 0.07406378385 0.4408558562 -3.013097862 -1.301583514
1.12 0.15 0.07315342309 0.4354370422 -3.011924594 -1.301745106
1.12 0.15 0.07366334005 0.4384722622 -3.014865087 -1.306127642
1.12 0.15 0.07343623573 0.4371204507 -3.014499654 -1.306926314
1.12 0.15 0.07364880444 0.4383857407 -3.013639173 -1.303159635
