# T rho P Z beta_mu_total U_per_particle
1.12 0.05 0.0443523991 0.7920071269 -3.396643189 -0.4355270557
1.12 0.05 0.04434747064 0.7919191185 -3.396224267 -0.4354002503
1.12 0.05 0.04427978638 0.7907104711 -3.396432378 -0.4347545356
1.12 0.05 0.04430819314 0.7912177347 -3.396086354 -0.4338878437
1.12 0.05 0.04445219264 0.7937891543 -3.395893215 -0.4350487849
1.12 0.05 0.04427838115 0.7906853776 -3.396376338 -0.4360257907
1.12 0.05 0.04420438014 0.789363931 -3.395977665 -0.4358782034
1.12 0.05 0.04429025458 0.7908974032 -3.396223879 -0.434445883
1.12 0.05 0.0443742562 0.7923974322 -3.395575813 -0.4362160124
1.12 0.05 0.04430883142 0.7912291325 -3.395673929 -0.4343983303
1.12 0.05 0.04429374126 0.7909596654 -3.395657974 -0.4352114948
1.12 0.05 0.04429774195 0.7910311062 -3.396293794 -0.4344932671
1.12 0.05 0.04433597646 0.7917138653 -3.395013441 -0.4317954913
1.12 0.05 0.04431652858 0.7913665818 -3.395455118 -0.432902846
1.12 0.05 0.04436403086 0.7922148368 -3.395734669 -0.4344875414
1.12 0.05 0.04431886915 0.7914083778 -3.395809544 -0.4339923563
1.12 0.05 0.04437419611 0.7923963591 -3.395269351 -0.4354672239
1.12 0.05 0.04430660633 0.7911893988 -3.396417222 -0.4370564172
1.12 0.05 0.04439828845 0.7928265794 -3.39542497 -0.4334393524
1.12 0.05 0.0442615368 0.7903845857 -3.396242345 -0.4374933888
1.12 0.05 0.0442451812 0.7900925215 -3.395373253 -0.4348390192
1.12 0.05 0.04432384196 0.7914971778 -3.395076005 -0.4348139756
1.12 0.05 0.04436619902 0.7922535539 -3.396318101 -0.4363933623
1.12 0.05 0.0443464773 0.7919013804 -3.39630933 -0.4367020343
1.12 0.05 0.0443372088 0.7917358713 -3.395492856 -0.4336501002
