# step   N   rho   U
0 181 0.527697 -563.523
50 180 0.524781 -559.288
100 181 0.527697 -560.55
150 179 0.521866 -552.108
200 179 0.521866 -553.496
250 181 0.527697 -557.062
300 182 0.530612 -574.655
350 182 0.530612 -573.012
400 182 0.530612 -573.718
450 182 0.530612 -571.792
500 183 0.533528 -577.265
550 184 0.536443 -578.935
600 184 0.536443 -577.017
650 183 0.533528 -575.509
700 182 0.530612 -569.248
750 181 0.527697 -564.244
800 178 0.51895 -552.062
850 179 0.521866 -557.276
900 179 0.521866 -559.857
950 179 0.521866 -559.771
1000 180 0.524781 -563.271
1050 181 0.527697 -562.805
1100 180 0.524781 -560.369
1150 179 0.521866 -555.793
1200 179 0.521866 -556.889
1250 179 0.521866 -549.459
1300 177 0.516035 -549.931
1350 180 0.524781 -563.721
1400 179 0.521866 -562.999
1450 179 0.521866 -562.503
1500 179 0.521866 -557.864
1550 181 0.527697 -568.127
1600 182 0.530612 -572.383
1650 186 0.542274 -597.6
1700 184 0.536443 -580.765
1750 185 0.539359 -578.856
1800 187 0.54519 -583.037
1850 190 0.553936 -599.3
1900 190 0.553936 -598.044
1950 190 0.553936 -599.736
2000 189 0.55102 -588.573
2050 187 0.54519 -577.328
2100 186 0.542274 -581.903
2150 186 0.542274 -580.962
2200 186 0.542274 -584.77
2250 186 0.542274 -584.691
2300 188 0.548105 -581.119
2350 188 0.548105 -576.413
2400 189 0.55102 -572.684
2450 189 0.55102 -567.608
2500 187 0.54519 -570.645
2550 186 0.542274 -567.97
2600 187 0.54519 -581.69
2650 189 0.55102 -587.109
2700 189 0.55102 -587.529
2750 188 0.548105 -578.705
2800 187 0.54519 -578.759
2850 187 0.54519 -567.778
2900 185 0.539359 -563.348
2950 187 0.54519 -570.157
3000 188 0.548105 -575.729
3050 188 0.548105 -581.333
3100 189 0.55102 -586.544
3150 188 0.548105 -585.073
3200 189 0.55102 -586.204
3250 190 0.553936 -584.658
3300 188 0.548105 -581.933
3350 186 0.542274 -578.873
3400 185 0.539359 -580.774
3450 183 0.533528 -576.28
3500 185 0.539359 -585.52
3550 184 0.536443 -585.299
3600 184 0.536443 -580.016
3650 187 0.54519 -593.749
3700 187 0.54519 -598.739
3750 187 0.54519 -597.6
3800 188 0.548105 -601.407
3850 186 0.542274 -592.847
3900 188 0.548105 -595.503
3950 188 0.548105 -595.278
4000 190 0.553936 -600.797
4050 190 0.553936 -602.684
4100 189 0.55102 -598.561
4150 188 0.548105 -591.523
4200 190 0.553936 -597.413
4250 187 0.54519 -575.955
4300 186 0.542274 -567.809
4350 185 0.539359 -566.773
4400 188 0.548105 -573.727
4450 190 0.553936 -590.353
4500 189 0.55102 -595.221
4550 188 0.548105 -589.792
4600 186 0.542274 -585.488
4650 186 0.542274 -582.256
4700 185 0.539359 -577.266
4750 185 0.539359 -583.178
4800 185 0.539359 -575.813
4850 186 0.542274 -583.814
4900 179 0.521866 -561.425
4950 181 0.527697 -566.293
5000 183 0.533528 -570.612
5050 185 0.539359 -572.277
5100 187 0.54519 -582.782
5150 188 0.548105 -591.653
5200 187 0.54519 -591.646
5250 188 0.548105 -598.83
5300 189 0.55102 -608.5
5350 187 0.54519 -605.235
5400 190 0.553936 -619.244
5450 191 0.556851 -621.304
5500 192 0.559767 -623.544
5550 192 0.559767 -627.448
5600 191 0.556851 -624.637
5650 191 0.556851 -623.248
5700 191 0.556851 -620.805
5750 193 0.562682 -630.061
5800 193 0.562682 -635.263
5850 194 0.565598 -643.615
5900 195 0.568513 -647.211
5950 194 0.565598 -645.515
6000 195 0.568513 -642.552
6050 195 0.568513 -642.74
6100 192 0.559767 -636.047
6150 192 0.559767 -637.911
6200 191 0.556851 -626.688
6250 191 0.556851 -627.442
6300 191 0.556851 -618.048
6350 189 0.55102 -608.533
6400 191 0.556851 -616.69
6450 192 0.559767 -607.417
6500 192 0.559767 -610.452
6550 190 0.553936 -604.633
6600 191 0.556851 -609.719
6650 193 0.562682 -618.594
6700 192 0.559767 -614.64
6750 193 0.562682 -621.403
6800 194 0.565598 -629.031
6850 197 0.574344 -634.949
6900 195 0.568513 -632.823
6950 195 0.568513 -633.395
7000 196 0.571429 -644.155
7050 198 0.577259 -658.366
7100 198 0.577259 -656.025
7150 197 0.574344 -645.545
7200 199 0.580175 -649.878
7250 196 0.571429 -638.65
7300 197 0.574344 -652.775
7350 201 0.586006 -671.819
7400 201 0.586006 -675.813
7450 203 0.591837 -685.257
7500 201 0.586006 -676.979
7550 202 0.588921 -683.786
7600 203 0.591837 -687.098
7650 203 0.591837 -685.713
7700 205 0.597668 -696.407
7750 204 0.594752 -686.526
7800 205 0.597668 -683.525
7850 203 0.591837 -682.039
7900 202 0.588921 -681.14
7950 202 0.588921 -680.978
8000 200 0.58309 -680.775
8050 201 0.586006 -695.004
8100 200 0.58309 -688.35
8150 201 0.586006 -691.902
8200 201 0.586006 -691.859
8250 200 0.58309 -687.727
8300 200 0.58309 -680.634
8350 200 0.58309 -681.654
8400 201 0.586006 -690.158
8450 203 0.591837 -690.675
8500 202 0.588921 -678.031
8550 203 0.591837 -679.696
8600 205 0.597668 -694.307
8650 206 0.600583 -701.773
8700 207 0.603499 -706.889
8750 203 0.591837 -678.925
8800 203 0.591837 -682.111
8850 202 0.588921 -685.886
8900 201 0.586006 -676.745
8950 201 0.586006 -668.588
9000 200 0.58309 -658.127
9050 197 0.574344 -640.695
9100 197 0.574344 -653.639
9150 197 0.574344 -656.317
9200 196 0.571429 -636.099
9250 194 0.565598 -639.387
9300 194 0.565598 -633.164
9350 194 0.565598 -635.083
9400 193 0.562682 -636.146
9450 192 0.559767 -622.2
9500 193 0.562682 -637.326
9550 191 0.556851 -627.358
9600 190 0.553936 -622.839
9650 190 0.553936 -611.108
9700 190 0.553936 -603.345
9750 188 0.548105 -599.273
9800 188 0.548105 -596.182
9850 183 0.533528 -575.864
9900 183 0.533528 -570.029
9950 182 0.530612 -565.673
10000 180 0.524781 -560.398
10050 180 0.524781 -550.833
10100 181 0.527697 -547.235
10150 182 0.530612 -543.859
10200 181 0.527697 -540.442
10250 180 0.524781 -543.757
10300 181 0.527697 -548.725
10350 184 0.536443 -569.196
10400 183 0.533528 -574.149
10450 181 0.527697 -554.089
10500 183 0.533528 -569.351
10550 181 0.527697 -568.25
10600 181 0.527697 -564.527
10650 180 0.524781 -556.633
10700 181 0.527697 -563.177
10750 179 0.521866 -555.399
10800 179 0.521866 -556.126
10850 179 0.521866 -567.967
10900 179 0.521866 -553.107
10950 177 0.516035 -549.314
11000 181 0.527697 -572.723
11050 183 0.533528 -580.84
11100 187 0.54519 -584.023
11150 186 0.542274 -575.956
11200 184 0.536443 -570.968
11250 183 0.533528 -565.5
11300 184 0.536443 -571.812
11350 185 0.539359 -573.317
11400 187 0.54519 -586.275
11450 184 0.536443 -580.94
11500 182 0.530612 -576.504
11550 182 0.530612 -568.648
11600 184 0.536443 -584.787
11650 181 0.527697 -577.425
11700 180 0.524781 -569.12
11750 179 0.521866 -565.705
11800 181 0.527697 -572.233
11850 182 0.530612 -577.382
11900 183 0.533528 -577.015
11950 185 0.539359 -575.586
12000 187 0.54519 -582.901
12050 185 0.539359 -573.118
12100 185 0.539359 -569.85
12150 183 0.533528 -564.321
12200 183 0.533528 -562.216
12250 183 0.533528 -567.832
12300 184 0.536443 -569.752
12350 185 0.539359 -572.87
12400 184 0.536443 -574.007
12450 184 0.536443 -569.451
12500 184 0.536443 -570.635
12550 183 0.533528 -568.714
12600 181 0.527697 -560.16
12650 180 0.524781 -556.095
12700 176 0.51312 -533.419
12750 175 0.510204 -526.994
12800 176 0.51312 -518.682
12850 176 0.51312 -515.57
12900 175 0.510204 -512.171
12950 176 0.51312 -515.753
13000 172 0.501458 -504.716
13050 173 0.504373 -506.757
13100 174 0.507289 -510.142
13150 177 0.516035 -516.002
13200 176 0.51312 -512.27
13250 174 0.507289 -511.438
13300 174 0.507289 -513.167
13350 174 0.507289 -516.494
