# Step  P_inst  U_inst
0 0.0174808 -514.903
200 0.0412556 -519.028
400 0.0292975 -518.584
600 -0.00788028 -518.456
800 0.0129716 -543.128
1000 0.0749238 -519.583
1200 0.033701 -543.284
1400 0.0320556 -568.213
1600 -0.0540885 -572.146
1800 0.106485 -538.262
2000 0.0650359 -570.735
2200 0.0324619 -551.826
2400 -0.000285981 -556.306
2600 0.0165853 -551.525
2800 0.0874552 -531.03
3000 0.0546797 -503.981
3200 -0.0250755 -523.877
3400 0.0715171 -497.717
3600 0.0170146 -494.703
3800 0.0354421 -525.159
4000 -0.0114536 -519.459
4200 0.0536593 -554.703
4400 -0.0222674 -522.126
4600 0.0995915 -507.928
4800 -0.0444961 -529.594
5000 0.0664292 -517.502
5200 -0.00512849 -524.232
5400 -0.0147627 -553.771
5600 0.0406822 -543.67
5800 -0.0235513 -541.322
6000 -0.0446534 -542.115
6200 0.104798 -509.646
6400 0.0354732 -529.035
6600 0.0432218 -508.802
6800 0.177354 -516.228
7000 0.00805335 -546.461
7200 0.0429883 -541.719
7400 0.0307279 -524.769
7600 0.0457628 -515.208
7800 0.0898534 -476.269
8000 0.0108835 -511.429
8200 0.0181699 -497.184
8400 0.0019606 -545.344
8600 0.0455705 -533
8800 -0.0405218 -554.153
9000 -0.00604511 -562.521
9200 -0.0429284 -520.496
9400 -0.0473513 -525.796
9600 0.0535549 -481.631
9800 0.0942258 -504.312
10000 0.0489926 -507.132
10200 -0.0412704 -509.809
10400 6.01431e-05 -535.633
10600 0.0394729 -552.056
10800 0.0946937 -541.664
11000 0.0511364 -566.269
11200 0.120954 -545.989
11400 -0.0256583 -547.454
11600 0.0159096 -557.418
11800 0.0400853 -551.132
12000 0.0612879 -553.123
12200 0.0392444 -562.062
12400 0.10098 -577.454
12600 0.00167169 -548.655
12800 0.0540827 -554.12
13000 -0.039691 -586.824
13200 0.0976973 -549.882
13400 0.00721185 -554.086
13600 -0.00590094 -541.99
13800 -0.00234337 -556.942
14000 0.0380842 -602.641
14200 0.133519 -583.247
14400 0.0343445 -627.103
14600 -0.104585 -605.027
14800 -0.100133 -620.637
15000 -0.0357575 -582.402
15200 0.00839614 -582.76
15400 0.100717 -598.046
15600 0.0577964 -606.489
15800 0.0208754 -570.262
16000 -0.0311411 -544.663
16200 0.0185007 -572.72
16400 0.0794685 -583.215
16600 0.0166894 -619.958
16800 0.0498871 -601.417
17000 0.0662585 -601.062
17200 0.115329 -591.412
17400 0.0121353 -607.575
17600 0.0308314 -604.267
17800 -0.0607676 -627.049
18000 0.137827 -609.555
18200 0.00433532 -606.119
18400 0.051512 -564.86
18600 -0.0181722 -569.778
18800 -0.0144899 -561.484
19000 0.0481463 -573.868
19200 0.0110333 -548.542
19400 0.0933627 -541.589
19600 0.0510296 -563.065
19800 0.0729603 -575.037
20000 -0.0317645 -591.833
20200 0.0175754 -551.778
20400 -0.00952655 -578.314
20600 0.0473365 -570
20800 -0.0255214 -610.832
21000 0.00294617 -611.483
21200 -0.0211974 -624.706
21400 0.0153524 -600.597
21600 0.0511614 -595.81
21800 0.0390474 -589.1
22000 -0.00387775 -581.126
22200 0.0233872 -574.758
22400 0.0711976 -557.74
22600 -0.0170981 -581.874
22800 0.0610303 -568.552
23000 0.0321606 -578.75
23200 -0.00884696 -576.528
23400 0.0332582 -583.026
23600 -0.000657151 -581.203
23800 0.0160974 -561.043
24000 0.0388959 -589.69
24200 0.00293321 -613.029
24400 0.0273331 -578.253
24600 0.0127294 -569.94
24800 -0.00388802 -592.207
25000 0.00787912 -623.454
25200 -0.00294652 -620.76
25400 0.0554762 -589.586
25600 0.0976793 -595.428
25800 -0.0226294 -600.574
26000 0.00254514 -594.331
26200 0.0669321 -585.726
26400 0.0455389 -614.395
26600 -0.0146932 -585.853
26800 -0.00412915 -587.918
27000 -0.0110927 -575.821
27200 0.0151601 -606.21
27400 -0.0332134 -588.924
27600 -0.0143237 -589.884
27800 0.0591497 -593.367
28000 0.0158442 -595.21
28200 -0.0746554 -578.075
28400 0.0698906 -581.318
28600 -0.00557957 -618.336
28800 -0.00344686 -572.689
29000 0.0230916 -549.389
29200 0.0740818 -594.105
29400 -0.050525 -599.463
29600 0.0339047 -557.05
29800 0.0545071 -564.93
30000 0.0523364 -601.052
30200 0.0203729 -600.18
30400 0.00581359 -593.668
30600 -0.0347895 -601.361
30800 0.0440591 -627.622
31000 0.0688056 -605.062
31200 0.0178834 -617.991
31400 0.0879866 -585.757
31600 -0.048286 -643.175
31800 0.0988665 -630.946
32000 0.059745 -649.661
32200 0.143691 -612.056
32400 -0.00794354 -647.728
32600 0.0380731 -628.686
32800 0.00975766 -621.274
33000 0.0339509 -608.172
33200 0.0529949 -616.987
33400 0.103634 -583.659
33600 0.00642586 -599.184
33800 0.00414225 -616.726
34000 0.060341 -610.298
34200 -0.0118151 -613.691
34400 0.0815836 -562.633
34600 0.132527 -564.927
34800 0.018295 -558.183
35000 0.0816256 -521.317
35200 0.0743613 -527.492
35400 0.0400359 -579.352
35600 -0.0023511 -578.931
35800 0.167084 -552.626
36000 -0.00580344 -544.483
36200 0.0480377 -558.241
36400 -0.0428239 -543.532
36600 0.0510816 -546.398
36800 0.0336793 -556.483
37000 0.0152458 -526.671
37200 0.0349669 -518.419
37400 0.119705 -489.37
37600 0.0559169 -519.832
37800 0.067051 -534.062
38000 -0.00669752 -526.462
38200 -0.0110535 -549.455
38400 0.0957519 -536.855
38600 0.048435 -564.517
38800 0.0268495 -579.097
39000 0.0469445 -507.771
39200 0.145288 -520.815
39400 0.00229785 -569.302
39600 0.0595325 -563.391
39800 0.0362039 -560.868
40000 -0.0168914 -529.384
40200 0.0970408 -536.678
40400 0.062589 -524.606
40600 -0.0123913 -542.85
40800 0.0723421 -533.877
41000 0.0552109 -511.124
41200 0.00665559 -530.715
41400 0.0558255 -544.545
41600 0.0174137 -541.88
41800 -0.0198534 -541.368
42000 0.0163038 -549.757
42200 -0.0519161 -559.567
42400 0.0284011 -587.619
42600 0.0520322 -574.258
42800 -0.0527153 -550.689
43000 0.0339511 -562.783
43200 -0.0299802 -546.705
43400 -0.0211958 -547.592
43600 0.0312869 -555.12
43800 0.00570364 -508.813
44000 0.0447776 -498.265
44200 0.0899197 -500.114
44400 0.0479459 -557.709
44600 -0.00638192 -579.109
44800 0.040753 -568.012
45000 0.0447751 -556.707
45200 0.065413 -546.045
45400 0.0664214 -543.956
45600 0.0965525 -529.414
45800 0.0207724 -521.434
46000 -0.0554645 -524.023
46200 0.0729476 -532.251
46400 -0.0107522 -529.067
46600 0.0466078 -548.285
46800 0.0774634 -567.684
47000 -0.0182582 -545.316
47200 0.0276841 -553.232
47400 0.115639 -537.35
47600 0.0119375 -532.858
47800 0.0170795 -527.59
48000 0.0670843 -558.269
48200 0.0455095 -588.396
48400 0.0766587 -575.216
48600 0.0503497 -590.966
48800 0.0637677 -577.997
49000 -0.0554226 -606.812
49200 0.0685418 -567.853
49400 0.0278604 -568.081
49600 0.0500633 -549.938
49800 0.0858218 -568.156
50000 -0.032915 -542.787
50200 -0.0434466 -578.802
50400 0.0667866 -555.467
50600 0.0282442 -545.333
50800 0.057608 -513.485
51000 0.123401 -505.635
51200 0.0191757 -533.576
51400 -0.0039547 -508.964
51600 0.00733163 -514.125
51800 0.0123766 -548.289
52000 0.0723095 -502.946
52200 0.0196422 -525.253
52400 -0.00234204 -540.631
52600 0.0986896 -539.546
52800 0.0754196 -539.388
53000 0.0975392 -528.686
53200 0.0164292 -526.704
53400 0.0296862 -534.776
53600 0.0300258 -554.331
53800 0.0134418 -547.958
54000 0.0365493 -537.616
54200 0.0433749 -567.202
54400 -0.0574258 -564.761
54600 0.0172372 -553.725
54800 0.0106291 -584.444
55000 0.00865248 -533.571
55200 0.00225303 -534.375
55400 0.021521 -534.851
55600 0.0794522 -530.134
55800 0.0236071 -548.2
56000 -0.0200557 -554.016
56200 0.0108055 -540.694
56400 0.0726817 -538.97
56600 0.0277815 -519.631
56800 0.0791121 -519.439
57000 -0.0026998 -528.101
57200 0.0129229 -510.907
57400 0.0648562 -519.146
57600 0.117882 -526.198
57800 0.106713 -512.195
58000 0.0245465 -526.072
58200 0.109282 -528.532
58400 0.0555934 -545.409
58600 -0.0404144 -591.641
58800 -0.0251523 -568.386
59000 -0.0337618 -579.419
59200 0.0664576 -525.184
59400 0.00893635 -530.902
59600 -0.0585151 -557.08
59800 0.107913 -544.098
60000 0.0523879 -525.249
60200 0.0495927 -573.018
60400 0.070465 -559.499
60600 0.0250249 -580.301
60800 0.0567057 -550.66
61000 0.114937 -519.268
61200 0.0335015 -568.158
61400 0.0162467 -579.834
61600 0.0941863 -582.114
61800 0.0239677 -556.929
62000 0.0910987 -504.93
62200 -0.0315595 -526.451
62400 0.0150448 -551.709
62600 0.0195377 -548.541
62800 0.107748 -534.829
63000 -0.00146944 -544.569
63200 -0.0016743 -505.468
63400 -0.0158198 -509.885
63600 -0.0351848 -533.19
63800 0.0085406 -534.057
64000 0.00700046 -539.879
64200 0.0180898 -508.791
64400 -0.041537 -495.523
64600 0.0674693 -531.523
64800 0.0512311 -534.358
65000 -0.0126513 -522.012
65200 -0.00107127 -484.285
65400 0.0686718 -481.218
65600 0.0527158 -499.543
65800 -0.0113568 -531.555
66000 0.0414592 -501.902
66200 -0.0169527 -519.516
66400 0.0661466 -480.239
66600 0.00320018 -486.527
66800 0.00825313 -481.473
67000 0.0713486 -483.276
67200 -0.00532802 -480.604
67400 -0.0221561 -492.571
67600 -0.0162383 -490.822
67800 0.0263069 -508.072
68000 0.017486 -493.591
68200 -0.0125453 -496.041
68400 0.00380374 -485.301
68600 0.0348042 -497.232
68800 0.0651334 -490.233
69000 0.0650503 -490.287
69200 0.0676261 -501.066
69400 0.0179657 -470.532
69600 0.0146003 -498.921
69800 -0.0760848 -515.092
70000 -0.0144111 -509.731
70200 0.0508473 -484.019
70400 0.0127809 -510.664
70600 0.0037608 -484.327
70800 -0.0221039 -499.905
71000 -0.00681734 -493.385
71200 0.0260333 -485.654
71400 -0.0053166 -478.32
71600 0.0400373 -480.491
71800 0.0126014 -490.754
72000 0.111848 -483.819
72200 0.0342602 -483.512
72400 -0.0298415 -499.496
72600 -0.00426911 -491.462
72800 0.0850666 -507.385
73000 0.0828663 -524.526
73200 0.0132632 -482.808
73400 0.0560835 -482.827
73600 0.0709313 -495.877
73800 0.00607171 -499.665
74000 0.0118114 -498.617
74200 0.00791065 -530.538
74400 0.025052 -531.656
74600 0.0252715 -527.133
74800 -0.0110623 -520.094
75000 0.0223537 -530.873
75200 0.0605394 -518.221
75400 -0.049976 -530.737
75600 -0.0542153 -538.134
75800 0.041653 -492.873
76000 0.0849456 -489.964
76200 0.0694403 -461.863
76400 0.0662953 -461.603
76600 0.0535587 -469.696
76800 -0.0199862 -475.571
77000 0.0488735 -472.957
77200 0.0750695 -490.09
77400 -0.0146091 -522.887
77600 0.0126405 -481.812
77800 0.0173217 -505.808
78000 0.0347578 -506.411
78200 0.0307262 -514.48
78400 -0.00877249 -536.944
78600 0.0186982 -539.642
78800 -0.0191819 -529.011
79000 0.0063389 -497.568
79200 0.0401597 -510.181
79400 -0.00733632 -507.202
79600 0.0710981 -472.925
79800 -0.0319028 -510.689
80000 0.131392 -498.927
80200 0.0231487 -489.917
80400 -0.0482892 -514.621
80600 0.0676033 -502.418
80800 -0.0136897 -506.121
81000 0.0612975 -493.754
81200 0.0683494 -445.892
81400 0.121581 -474.614
81600 0.0700633 -501.202
81800 0.122223 -481.511
82000 0.0900823 -485.108
82200 0.0290885 -489.679
82400 0.0343995 -516.536
82600 0.0293003 -506.106
82800 0.115851 -494.733
83000 0.0130702 -530.913
83200 0.0346031 -499.747
83400 0.024336 -513.999
83600 0.00184908 -533.919
83800 0.166267 -535.698
84000 0.0386126 -524.722
84200 0.0240388 -535.609
84400 0.0424752 -536.955
84600 0.015657 -528.304
84800 0.0518654 -563.227
85000 0.0393645 -561.531
85200 0.0444173 -558.289
85400 0.0705395 -528.952
85600 0.048656 -535.674
85800 -0.0353763 -566.132
86000 -0.0387802 -554.858
86200 0.0683878 -538.718
86400 0.0356222 -541.471
86600 0.0487169 -511.328
86800 -0.00417272 -520.68
87000 0.0260144 -512.698
87200 0.0652494 -508.243
87400 0.0107442 -507.957
87600 0.000700539 -499.469
87800 0.079917 -489.409
88000 -0.00695879 -509.628
88200 0.0571356 -485.266
88400 0.0570039 -506.921
88600 0.122286 -482.609
88800 0.114135 -485.492
89000 0.0136391 -509.996
89200 0.0255268 -523.505
89400 0.0874103 -508.672
89600 0.0500514 -507.665
89800 0.0732402 -481.304
90000 0.0388817 -484.325
90200 0.00782008 -480.12
90400 0.0458752 -480.775
90600 0.0404443 -505.507
90800 0.0280058 -496.529
91000 0.055979 -492.238
91200 0.0397564 -501.236
91400 0.0170744 -505.601
91600 -0.027684 -516.603
91800 0.00836492 -527.295
92000 0.095939 -511.341
92200 0.0542359 -499.733
92400 0.0331782 -485.316
92600 -0.0251922 -473.085
92800 0.0583024 -480.027
93000 0.0876418 -489.253
93200 0.00308631 -512.411
93400 0.0738749 -453.966
93600 0.00194246 -447.212
93800 0.00226988 -449.249
94000 0.0445753 -454.859
94200 0.114007 -459.372
94400 0.0907438 -465.606
94600 0.0500096 -459.226
94800 0.0677124 -455.45
95000 0.0433049 -465.747
95200 0.0252651 -471.475
95400 0.099947 -431.642
95600 0.0630033 -470.591
95800 -0.000378715 -482.288
96000 0.0622565 -468.901
96200 0.0210889 -490.07
