# Step  P_inst  U_inst
0 0.0690296 -1356.03
100 0.573569 -1332.29
200 0.213898 -1339.27
300 0.378897 -1332.02
400 0.332381 -1339.34
500 0.563426 -1316.54
600 0.624148 -1316.42
700 -0.423894 -1380.72
800 0.698752 -1324.73
900 0.446196 -1338.57
1000 0.319484 -1339.95
1100 -0.0329426 -1366.06
1200 -0.02509 -1361.95
1300 0.226328 -1346.13
1400 0.225958 -1346.14
1500 0.409383 -1336.42
1600 0.238514 -1336.67
1700 0.524799 -1317.47
1800 0.555152 -1329.08
1900 0.322661 -1337.14
2000 0.505664 -1320.55
2100 0.472802 -1336.63
2200 0.788849 -1318.12
2300 0.62462 -1335.41
2400 -0.224236 -1365.71
2500 -0.0427559 -1361.16
2600 0.651001 -1318.6
2700 0.461621 -1328.51
2800 0.192301 -1353.84
2900 0.0377751 -1361.81
3000 0.404354 -1331.09
3100 0.702361 -1319.39
3200 0.663216 -1318.39
3300 0.471597 -1324.2
3400 -0.0761858 -1363.82
3500 0.509687 -1333.39
3600 0.387784 -1336.59
3700 0.143661 -1350.05
3800 -0.131845 -1356.96
3900 0.861211 -1317.74
4000 0.476726 -1331.19
4100 0.731072 -1318.03
4200 0.492152 -1331.88
4300 0.0163093 -1353.66
4400 0.636853 -1325.22
4500 0.0576788 -1350.47
4600 0.377975 -1337.4
4700 0.10196 -1351.67
4800 0.196894 -1344.5
4900 0.432095 -1338.32
5000 0.105239 -1354.46
5100 0.375334 -1337.21
5200 0.0221046 -1354.19
5300 -0.0609372 -1357.55
5400 0.165994 -1350.72
5500 0.226181 -1339.47
5600 0.10514 -1345.84
5700 0.406126 -1338.3
5800 0.182701 -1356.32
5900 0.0287179 -1352.76
6000 0.343028 -1342.69
6100 0.386808 -1336.2
6200 0.0941243 -1350.89
6300 0.460535 -1330.33
6400 0.683142 -1319.91
6500 0.414675 -1337.92
6600 0.531079 -1333.24
6700 0.701765 -1319.49
6800 -0.0561689 -1359.54
6900 0.488026 -1329.83
7000 0.180909 -1353.15
7100 0.25231 -1337.56
7200 0.145164 -1352.68
7300 0.357446 -1339.96
7400 0.427117 -1337.72
7500 0.389227 -1335.26
7600 0.409668 -1332.41
7700 0.426136 -1329.65
7800 0.624169 -1324.43
7900 0.0874217 -1356.24
8000 0.759292 -1319.05
8100 0.487851 -1325.02
8200 0.245979 -1344.87
8300 0.382405 -1346.57
8400 0.432835 -1341.52
8500 0.158777 -1350.55
8600 0.716493 -1307.51
8700 0.291218 -1341.95
8800 0.428768 -1333.35
8900 0.168839 -1358.35
9000 0.387404 -1335.38
9100 0.27586 -1350.63
9200 0.515225 -1328.01
9300 0.41463 -1334.89
9400 0.892348 -1314.18
9500 0.449587 -1326.6
9600 0.230062 -1351.3
9700 0.542759 -1333.61
9800 0.0653516 -1348.7
9900 0.0247402 -1361.83
10000 0.683399 -1324.21
10100 0.811924 -1310.17
10200 0.336185 -1349
10300 0.291429 -1344.64
10400 0.348603 -1334.36
10500 0.810019 -1321.83
10600 0.293436 -1339.28
10700 0.185186 -1342.63
10800 0.102403 -1352.33
10900 0.748158 -1323.12
11000 0.377069 -1330.34
11100 -0.148078 -1363.9
11200 -0.175362 -1366.09
11300 0.233947 -1336.38
11400 0.535118 -1325.46
11500 0.540108 -1325.5
11600 0.249158 -1343.38
11700 0.609652 -1318.24
11800 0.249107 -1346.97
11900 0.17376 -1340.62
12000 0.191123 -1345.93
12100 -0.116442 -1355.53
12200 0.166507 -1347.35
12300 0.758401 -1323.22
12400 0.26152 -1338.88
12500 0.257509 -1344.26
12600 0.365155 -1334.52
12700 0.303019 -1346.69
12800 0.459551 -1334
12900 0.533414 -1330.26
13000 0.0445185 -1355.23
13100 0.36454 -1331.83
13200 0.283762 -1340.94
13300 0.61236 -1328.26
13400 0.597904 -1315.45
13500 0.385316 -1345.84
13600 0.323632 -1339.49
13700 0.441063 -1322.37
13800 0.435092 -1333.17
13900 0.336542 -1339.9
14000 0.394544 -1325.22
14100 0.195168 -1351.79
14200 0.253874 -1341.64
14300 0.0880427 -1354.15
14400 0.322295 -1340.24
14500 -0.0058378 -1355.78
14600 0.0109068 -1356.25
14700 0.413969 -1337.69
14800 0.550652 -1327.93
14900 0.837658 -1308.09
15000 0.277996 -1336.33
15100 0.775723 -1324.64
15200 0.262165 -1348.25
15300 0.103884 -1358.24
15400 0.33969 -1336.14
15500 0.198621 -1348.93
15600 0.257334 -1347.3
15700 0.981667 -1306.44
15800 0.637594 -1320.35
15900 0.415996 -1329.41
16000 0.503527 -1340.61
16100 0.862308 -1314.26
16200 0.580407 -1327.92
16300 0.22827 -1335.67
16400 -0.0511435 -1355.48
16500 0.171275 -1345.04
16600 0.801939 -1317.09
16700 0.00409813 -1355.53
16800 0.0356794 -1353.63
16900 0.193837 -1337.79
17000 0.583921 -1318.75
17100 0.336255 -1338.97
17200 0.298174 -1334.58
17300 0.785895 -1307.19
17400 0.434338 -1332.95
17500 1.20234 -1283.84
17600 0.632661 -1322.26
17700 0.70932 -1311.65
17800 0.344111 -1341.45
17900 0.529607 -1327.17
18000 0.487388 -1329.48
18100 0.160069 -1342.94
18200 0.654393 -1325.74
18300 0.955588 -1302.78
18400 0.503759 -1336.19
18500 0.282407 -1338.6
18600 0.635577 -1320.43
18700 0.293153 -1343.75
18800 0.0893544 -1345.25
18900 0.216682 -1347.35
19000 0.594427 -1321.22
19100 0.235442 -1351.63
19200 0.364654 -1334.88
19300 0.596692 -1320.65
19400 0.314555 -1334.97
19500 0.758635 -1315.98
19600 0.237493 -1341.83
19700 0.422862 -1339.3
19800 0.546833 -1327.08
19900 -0.0473052 -1367.02
20000 0.271597 -1342.2
20100 0.299819 -1339.69
20200 0.193324 -1342.86
20300 0.852145 -1316.37
20400 0.689458 -1321.81
20500 0.491842 -1332.79
20600 0.243935 -1344.92
20700 0.155396 -1351.43
20800 0.228198 -1340.15
20900 0.668047 -1319.22
21000 0.700282 -1328.97
21100 0.341159 -1335.96
21200 0.381584 -1331.01
21300 0.0544786 -1355.65
21400 0.0607097 -1345.86
21500 0.737894 -1320.64
21600 0.0242297 -1353.04
21700 0.169259 -1344.7
21800 -0.0786617 -1358.67
21900 0.635819 -1330.39
22000 0.943971 -1305.56
22100 0.610755 -1316.96
22200 0.36996 -1340.7
22300 0.124216 -1353.58
22400 0.388275 -1330.07
22500 0.461903 -1334.85
22600 0.708639 -1315.44
22700 0.194398 -1348.09
22800 0.515171 -1328.18
22900 0.899455 -1311.27
23000 0.933597 -1314.01
23100 0.209476 -1346.46
23200 0.657181 -1325.48
23300 0.261703 -1341.08
23400 0.00559422 -1356.78
23500 0.537181 -1323.84
23600 0.317342 -1338.68
23700 0.3995 -1327.02
23800 0.0487614 -1359.46
23900 0.4503 -1332.81
24000 0.405566 -1341.62
24100 0.611159 -1325.97
24200 0.371219 -1340.98
24300 0.646379 -1330.33
24400 0.426679 -1336.29
24500 0.57164 -1333.19
24600 0.173445 -1347.25
24700 -0.207296 -1373.03
24800 -0.0737231 -1358.15
24900 0.2623 -1345.3
25000 0.638193 -1325.81
25100 0.419332 -1330.87
25200 0.448046 -1322.31
25300 0.285492 -1346.88
25400 0.464703 -1336.31
25500 0.572741 -1322.96
25600 0.0614992 -1351.79
25700 0.632398 -1322.12
25800 0.386937 -1332.36
25900 0.523436 -1324.55
26000 0.227521 -1352.38
26100 0.743912 -1319.38
26200 0.805467 -1319.9
26300 -0.00595755 -1360.59
26400 0.410615 -1328.85
26500 0.720911 -1317.12
26600 1.0027 -1293.37
26700 0.398869 -1330.85
26800 0.356183 -1352.74
26900 0.370937 -1335.46
27000 0.427271 -1336.24
27100 0.473075 -1342.04
27200 0.438098 -1334.64
27300 0.0841674 -1346.29
27400 0.0802035 -1361.69
27500 0.367425 -1344.67
27600 0.368987 -1333.88
27700 0.38587 -1339.44
27800 0.588195 -1329.55
27900 0.177544 -1346.2
28000 0.474163 -1327.21
28100 -0.0201103 -1350.43
28200 0.543212 -1332.86
28300 0.0954924 -1346.79
28400 -0.303755 -1369.48
28500 0.172741 -1340.3
28600 0.566804 -1330.76
28700 0.68659 -1319.26
28800 0.719342 -1328.8
28900 0.38132 -1334.97
29000 0.425258 -1344.91
29100 0.158035 -1351.6
29200 0.340157 -1330.78
29300 0.121083 -1351.27
29400 0.0553064 -1350.41
29500 0.142981 -1345.58
29600 0.851977 -1311.07
29700 0.150828 -1352.79
29800 -0.0281728 -1363.23
29900 0.258733 -1343.91
30000 0.236322 -1345.01
30100 0.302144 -1339.96
30200 0.226106 -1340.4
30300 0.578397 -1336.07
30400 0.364039 -1338.27
30500 0.317557 -1355.86
30600 0.618181 -1320.7
30700 0.301827 -1341.33
30800 0.401275 -1346.5
30900 0.116666 -1351.43
31000 0.301017 -1339.13
31100 0.798149 -1312.63
31200 0.760356 -1322.25
31300 0.216735 -1343.47
31400 0.137731 -1350.27
31500 0.39731 -1347.49
31600 0.299048 -1345.69
31700 0.208209 -1344.65
31800 -0.203541 -1370.44
31900 -0.229803 -1365.27
32000 0.42859 -1328.52
32100 0.269666 -1347.25
32200 0.427845 -1334.24
32300 0.177111 -1348.61
32400 -0.410459 -1389.45
32500 -0.0980437 -1373.68
32600 -0.0383246 -1353.58
32700 0.474821 -1334.95
32800 0.140264 -1349.87
32900 -0.0920468 -1356.93
33000 0.425387 -1328.63
33100 0.255909 -1338.15
33200 0.447921 -1330.86
33300 0.418629 -1339.45
33400 0.520796 -1329.74
33500 0.31751 -1340.28
33600 0.396229 -1329.17
33700 0.64465 -1334.2
33800 0.963037 -1299.33
33900 0.494285 -1335.67
34000 0.179503 -1344.75
34100 0.115049 -1346.34
34200 0.801239 -1323.45
34300 0.298423 -1345.54
34400 0.119103 -1347.2
34500 0.66302 -1325.79
34600 0.295068 -1347.3
34700 0.480126 -1326.81
34800 0.697372 -1316.23
34900 0.236383 -1338.71
35000 0.47317 -1337.66
35100 0.843563 -1326.38
35200 0.682743 -1324.64
35300 0.410757 -1332.09
35400 0.67648 -1319.47
35500 1.01679 -1307.37
35600 0.607034 -1319.86
35700 0.772783 -1311.2
35800 0.340571 -1343.47
35900 0.576151 -1322.88
36000 0.29798 -1339.05
36100 0.508342 -1333.88
36200 0.75947 -1312.26
36300 0.659259 -1327.65
36400 0.816487 -1303.49
36500 0.592436 -1330.36
36600 0.41767 -1336.97
36700 0.244469 -1341.51
36800 -0.0182396 -1358.32
36900 0.147342 -1340.44
37000 0.374308 -1334.23
37100 0.291012 -1341.21
37200 1.00772 -1308.08
37300 0.643475 -1325.53
37400 0.30828 -1347.15
37500 0.00161365 -1361.56
37600 -0.0719892 -1361.49
37700 0.249721 -1347.47
37800 0.489288 -1329.89
37900 0.661571 -1319.88
38000 0.236307 -1333.34
38100 0.55694 -1330.91
38200 0.194751 -1345.77
38300 0.426521 -1341.18
38400 0.590149 -1322.31
38500 0.286981 -1337.17
