# Step    P_inst    U_inst
0 9.60503 -1250.62
100 9.91999 -1232.2
200 9.41016 -1270.16
300 8.61418 -1318.21
400 9.68821 -1257.95
500 9.21999 -1271.2
600 9.38584 -1285.81
700 10.2612 -1228.22
800 9.44196 -1265.82
900 9.27447 -1275.2
1000 8.83472 -1303.78
1100 8.99518 -1295.67
1200 8.56536 -1316.78
1300 9.3599 -1276.17
1400 8.63572 -1315.75
1500 8.0914 -1335.41
1600 9.32068 -1276.19
1700 8.61228 -1310.62
1800 9.002 -1301.71
1900 9.43567 -1271.55
2000 8.56251 -1320.04
2100 9.9056 -1248.4
2200 9.7475 -1248.88
2300 8.59282 -1318.84
2400 8.78339 -1299.31
2500 9.52011 -1270.6
2600 9.26347 -1274.88
2700 9.55396 -1259.65
2800 9.36044 -1274.91
2900 9.28277 -1282.48
3000 10.1228 -1238.64
3100 9.91153 -1250.86
3200 8.95443 -1291.05
3300 9.38443 -1277.02
3400 9.96346 -1231.5
3500 9.00907 -1293.65
3600 9.60209 -1264.58
3700 9.08758 -1290.36
3800 9.80891 -1246.47
3900 8.90341 -1297.53
4000 9.43644 -1263.77
4100 8.41873 -1321.93
4200 8.41414 -1325.06
4300 8.44845 -1321.4
4400 9.43937 -1270.81
4500 9.62879 -1250.46
4600 9.4211 -1269.27
4700 9.54232 -1259.66
4800 8.1474 -1340.58
4900 9.16856 -1291.37
5000 9.29665 -1277.74
5100 8.15119 -1338.46
5200 9.06172 -1285.17
5300 9.11262 -1289.38
5400 9.23928 -1269.08
5500 9.86453 -1248.64
5600 9.89111 -1244.31
5700 7.84363 -1344.55
5800 9.70465 -1258.34
5900 8.88685 -1311.13
6000 8.99229 -1298.05
6100 8.7228 -1305.25
6200 8.18862 -1338.58
6300 9.81779 -1251.42
6400 8.29777 -1335.49
6500 8.90651 -1299.73
6600 8.92115 -1295.11
6700 9.50359 -1258.89
6800 8.34329 -1324.01
6900 8.6166 -1308.18
7000 9.85534 -1248.52
7100 10.6176 -1205.11
7200 8.99118 -1294.78
7300 8.96783 -1292.46
7400 9.02083 -1291.22
7500 8.437 -1321.92
7600 9.294 -1288.72
7700 9.75869 -1243.15
7800 9.94516 -1235.53
7900 8.62358 -1313.63
8000 9.43453 -1266.21
8100 9.91915 -1236.4
8200 8.73379 -1302.7
8300 9.5319 -1267.58
8400 9.24228 -1281.95
8500 8.50431 -1318.57
8600 8.86419 -1296.12
8700 8.28353 -1328.91
8800 9.1227 -1289.37
8900 8.98441 -1285.74
9000 8.96554 -1286.58
9100 7.63542 -1366.08
9200 8.79622 -1298.54
9300 9.16317 -1289.48
9400 8.72035 -1302.86
9500 8.41932 -1328.77
9600 8.88349 -1299.31
9700 9.21636 -1281.27
9800 9.98747 -1245.04
9900 10.1198 -1232.61
10000 9.52703 -1260.65
10100 8.80529 -1307.76
10200 8.27201 -1343.96
10300 9.61966 -1262.77
10400 8.87971 -1298.79
10500 8.614 -1311.89
10600 9.472 -1269.02
10700 9.30919 -1271.41
10800 9.30182 -1288.12
10900 10.1418 -1235.35
11000 9.57268 -1266.37
11100 9.41738 -1270.61
11200 9.65351 -1252.36
11300 8.44701 -1323.75
11400 9.00379 -1296.05
11500 8.98954 -1296.93
11600 10.9144 -1190.51
11700 8.35944 -1326.23
11800 9.45887 -1262.44
11900 8.54686 -1307.22
12000 8.62726 -1314.88
12100 8.83353 -1303.67
12200 8.58433 -1313.04
12300 9.21382 -1279.28
12400 9.76495 -1257.5
12500 8.4829 -1312.3
12600 9.077 -1280.51
12700 10.4035 -1209.18
12800 10.1753 -1224.39
12900 9.71145 -1260.25
13000 9.51042 -1267.54
13100 10.0396 -1236.7
13200 8.70193 -1315.36
13300 9.49826 -1266.04
13400 9.49876 -1259.5
13500 8.70692 -1307.28
13600 8.84006 -1303.51
13700 9.77913 -1245.15
